АРГЕНТИНА: Суперлига 1,27,Тигре - Банфилд ,0:2,http://m.myscore.ru/match/bLyL9Sih/?s=2,10,"Тотал больше 3  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
АРГЕНТИНА: Суперлига 1,37,Ланус - Химнасия и Эсгрима ,1:0,http://m.myscore.ru/match/UoXGA8xn/?s=2,10,"Тотал больше 2  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
МЕКСИКА: Высший дивизион A - Клаусура 1,40,УАЕМ Потрос - Тампико Мадеро ,1:0,http://m.myscore.ru/match/pSrCtkGJ/?s=2,10,"Тотал больше 2  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
БАНГЛАДЕШ: Премьер-лига 1,24,Муктижоддха Сангсад - Bashundara Kings ,1:1,http://m.myscore.ru/match/zN82ZuE2/?s=2,10,Тотал игры узнавайте у саппорта. Код NDA 2
ТУРЦИЯ: 1. Lig 1,22,Кардемир Карабюк - Эскишехирспор ,0:2,http://m.myscore.ru/match/SMrDIp94/?s=2,1,Тотал 
ИСПАНИЯ: Примера 1,40,Хетафе - Сельта ,0:1,http://m.myscore.ru/match/zH31gi5F/?s=2,10,"Тотал больше 3  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
УГАНДА: Премьер-лига 1,18,Вайперс - Вилла ,0:2,http://m.myscore.ru/match/86uxVUbC/?s=2,1,Тотал 
МАЛАЙЗИЯ: Суперлига 1,30,ПКНС ФК - Melaka United ,0:1,http://m.myscore.ru/match/EwN0d605/?s=2,10,"Тотал больше 2  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
ЮЖНАЯ АФРИКА: Первый дивизион 1,15,Сивутса Старс - Претория Ю. ,2:0,http://m.myscore.ru/match/27axuA8T/?s=2,1,Тотал 
ИТАЛИЯ: Серия C - Группа B 1,20,Губбио - Имолезе ,1:1,http://m.myscore.ru/match/0vLWSsVi/?s=2,1,Тотал второго тайма больше 0.5 [alg B]
ЮЖНАЯ АФРИКА: Первый дивизион 1,43,Уитбанк Сперс - Uthongathi ,0:1,http://m.myscore.ru/match/8lx5zUGp/?s=2,10,"Тотал больше 2  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
ХОРВАТИЯ: Первый дивизион 1,15,Славен - Горица ,2:0,http://m.myscore.ru/match/bD3GUmPt/?s=2,1,Тотал 
МАРОККО: Ботола 1,18,Кавкаб Марракеш - Rapide Oued Zem ,1:0,http://m.myscore.ru/match/QVkxS3Af/?s=2,10,"Тотал больше 2  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
САН-МАРИНО: Чемпионат - Второй этап 1,18,Тре Фиори - Пеннаросса ,2:0,http://m.myscore.ru/match/pUiKbOBe/?s=2,1,Тотал 
АЛЖИР: Первый дивизион 1,20,Медеа - Белуиздад ,0:1,http://m.myscore.ru/match/hSh2QAIB/?s=2,10,"Тотал больше 2  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
УЭЛЬС: Первый дивизион 1,25,Цвмамман Юнайтед - Тон Пентр ,1:1,http://m.myscore.ru/match/Yi7pmBvR/?s=2,1,Тотал 
НИДЕРЛАНДЫ: Третий дивизион 1,32,ОНС Снек - Eemdijk ,1:0,http://m.myscore.ru/match/zetV1QoG/?s=2,10,Тотал игры узнавайте у саппорта. Код NDA 1
АНГЛИЯ: Национальная лига Север 1,13,Саутпорт - Чорли ,1:0,http://m.myscore.ru/match/nLlY3Iof/?s=2,1,Тотал 
АНГЛИЯ: NPL Premier Division 1,13,Скарборо - Стаффорд Рейнджерз ,0:0,http://m.myscore.ru/match/nojPH668/?s=2,1,Тотал 
АНГЛИЯ: Премьер-лига 1,34,Кристал Пэлас - Вест Хэм ,0:1,http://m.myscore.ru/match/Sh7vh8Qk/?s=2,10,"Тотал больше 2  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
АНГЛИЯ: Southern League Central Division 1,34,Needham Market - Хейлсоуэн ,1:1,http://m.myscore.ru/match/dtRmEbTu/?s=2,10,"Тотал больше 3.5 [alg C2]
 Ставить при коэффициенте не менее 1.5 ! ! !"
АНГЛИЯ: Isthmian League Premier Division 1,34,Тонбридж - Маргейт ,1:0,http://m.myscore.ru/match/Cv4IzkXM/?s=2,10,"Тотал больше 2.5 [alg A]
 Ставить при коэффициенте не менее 1.5 ! ! !"
АНГЛИЯ: Вторая лига 1,37,Маклсфилд - Крю ,1:2,http://m.myscore.ru/match/fonsMKim/?s=2,10,"Тотал больше 4  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
АНГЛИЯ: Национальная лига Север 1,37,Блит - Дарлингтон ,0:1,http://m.myscore.ru/match/n79akJW0/?s=2,10,"Тотал больше 2  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
ШОТЛАНДИЯ: Вторая лига 1,41,Берик - Стерлинг ,0:0,http://m.myscore.ru/match/zHymRFNt/?s=2,10,"Тотал больше 2.5 [alg A]
 Ставить при коэффициенте не менее 1.5 ! ! !"
АНГЛИЯ: Southern League South Division 1,45,Уимборн - Хендон ,1:2,http://m.myscore.ru/match/v1poNWI1/?s=2,10,Тотал больше 5  [alg C1]
ИСПАНИЯ: Примера 1,45,Атлетико - Реал Мадрид ,1:2,http://m.myscore.ru/match/xMoZg3vT/?s=2,10,"Тотал больше 4  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
МАРОККО: Ботола 1,24,Олимпик Хурибга - Дифаа Эль-Джадиди ,1:0,http://m.myscore.ru/match/x8YaohBF/?s=2,10,"Тотал больше 2  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
ИТАЛИЯ: Серия В 1,17,Брешия - Карпи ,0:0,http://m.myscore.ru/match/0SCC8Ki2/?s=2,10,"Тотал больше 2.5 [alg A]
 Ставить при коэффициенте не менее 1.5 ! ! !"
